Aberdeen,SD*98.43*45.45 
Nikolski,AK*169.42*53.58 
Nome,AK*165.43*64.50 
Norfolk,NE*97.43*41.98 
Norfolk NAS,VA*76.28*36.93 
Norfolk Rgnl,VA*76.20*36.90 
Norman,OK*97.47*35.23 
North Bend,OR*124.25*43.42 
North Is,CA*117.20*32.70 
North Omaha,NE*96.02*41.37 
North Platte,NE*100.68*41.13 
Northrup Str,NM*106.40*32.90 
Northway,AK*141.93*62.97 
Norton AFB,CA*117.23*34.10 
Norwood,MA*71.18*42.18 
Nth Kingston,RI*71.42*41.60 
Nth Myrtle B,SC*78.72*33.82 
Nth Philadel,PA*75.02*40.08 
O'neill,NE*98.68*42.47 
Oak Harbor,WA*122.68*48.25 
Oakland,CA*122.22*37.73 
Ocean City,MD*75.13*38.55 
Oceana NAS,VA*76.03*36.82 
Offutt AFB,NE*95.92*41.12 
Ogden,UT*112.02*41.18 
Ogdensburg,NY*75.40*44.68 
Oklahoma Cty,OK*97.60*35.40 
Olathe,KS*94.90*38.85 
Oliktok Dew,AK*149.88*70.50 
Olympia,WA*122.90*46.97 
Omaha/Eppley,NE*95.90*41.30 
Omak,WA*119.53*48.42 
Oneonta,NY*75.12*42.87 
Ontario,OR*117.02*44.02 
Ontario Intl,CA*117.62*34.05 
Ord/Sharp,NE*98.95*41.62 
Orlando,FL*81.33*28.55 
Oshkosh,WI*88.57*44.00 
Otis ANGB,MA*70.52*41.65 
Ottumwa,IA*92.45*41.10 
Owensboro,KY*87.17*37.75 
Owyhee,NV*116.17*42.58 
Oxford,MS*89.54*34.39 
Oxnard,CA*119.20*34.20 
Paducah,KY*88.77*37.07 
Page,AZ*111.45*36.93 
Page,OK*94.62*34.68 
Palacios,TX*96.25*28.72 
Palm Springs,CA*116.50*33.83 
Palmdale,CA*118.13*35.05 
Palmer,AK*149.08*61.60 
Palo Alto,CA*122.12*37.47 
Panama City,FL*85.68*30.20 
Paris/Cox,TX*95.45*33.63 
Park Rapids,MN*95.07*46.90 
Parkersburg,WV*81.43*39.35 
Pasco,WA*119.12*46.27 
Paso Robles,CA*120.63*35.67 
Patrick AFB,FL*80.60*28.23 
Patuxent,MD*76.40*38.28 
Paxson,AK*145.50*63.03 
Payson,AZ*111.33*34.23 
Pease AFB,NH*70.82*43.08 
Pellston,MI*84.80*45.57 
Pendleton,OR*118.85*45.68 
Pensacola,FL*87.20*30.47 
Peoria,IL*89.68*40.67 
Pequot Lake,MN*94.32*46.60 
Petersburg,AK*132.97*56.82 
Philadelphia,PA*75.25*39.88 
Philip,SD*101.60*44.05 
Philipsburg,PA*78.13*41.47 
Phillips,MD*76.17*39.47 
Phoenix,AZ*112.02*33.43 
Pierre,SD*100.28*44.38 
Pikeville,KY*82.52*37.48 
Pillaro Pt,CA*122.83*37.83 
Pine Bluff,AR*91.93*34.17 
Pittsburgh,PA*80.22*40.50 
Pittsfield,MA*73.18*42.26 
Plainview,TX*101.71*34.17 
Plattsburgh,NY*73.47*44.65 
Pocatello,ID*112.60*42.92 
Point Lay,AK*162.92*69.82 
Point Mugu,CA*119.12*34.12 
Ponca City,OK*97.10*36.73 
Pontiac,MI*83.42*42.67 
Pope AFB,NC*79.02*35.17 
Poplar Bluff,MO*90.47*36.77 
Port Alexndr,AK*134.65*56.25 
Port Angeles,WA*123.50*48.12 
Port Arthur,TX*94.02*30.58 
Port Clarnce,AK*166.87*65.25 
Port Heiden,AK*158.62*56.95 
Portland,ME*70.32*43.65 
Portland,OR*122.60*45.60 
Poughkeepsie,NY*73.88*41.63 
Prescott,AZ*112.43*34.65 
Presque Isle,ME*68.05*46.68 
Price/Carbon,UT*110.75*39.62 
Prospect Crk,AK*150.65*66.82 
Providence,RI*71.43*41.73 
Provo,UT*111.72*40.22 
Prudhoe Bay,AK*148.33*70.25 
Pt Alsworth,AK*154.30*60.20 
Pt Arena,CA*124.22*39.58 
Pt Arguello,CA*121.12*34.95 
Pt Piedras,CA*121.28*35.67 
Pueblo,CO*104.52*38.28 
Pullman,WA*117.12*46.75 
Puntilla,AK*153.25*62.17 
Quantico Mca,VA*77.30*38.50 
Quillayute,WA*124.55*47.95 
Quincy,IL*91.20*39.93 
Quonset Pt NAS,RI*71.25*41.36 
Raleigh-Durh,NC*78.78*35.87 
Randolph AFB,TX*98.28*29.53 
Rapid City,SD*103.07*44.05 
Raton,NM*104.50*36.74 
Rawlins,WY*107.20*41.80 
Reading,PA*75.97*40.38 
Red Bluff,CA*122.25*40.15 
Redding,CA*122.30*40.50 
Redig,SD*103.32*45.16 
Redmond,OR*121.15*44.27 
Redwood Falls,MN*95.08*44.55 
Reese AFB,TX*102.05*33.60 
Reno,NV*119.78*39.50 
Renton,WA*122.22*47.50 
Rhinelander,WI*89.45*45.63 
Rice Lake,WI*91.72*45.48 
Richards-Geb,MO*94.55*38.85 
Richmond,VA*77.33*37.50 
Rickenbacker,OH*82.93*39.82 
Rifle,CO*107.80*39.53 
Riverside,CA*117.45*33.95 
Riverton,WY*108.45*43.05 
Roanoke Muni,VA*79.97*37.32 
Robins AFB,GA*83.60*32.63 
Rochester,MN*92.50*43.92 
Rochester,NY*77.67*43.12 
Rock Springs,WY*109.07*41.60 
Rockford,IL*89.10*42.20 
Rockland,ME*69.12*44.07 
Rockport,TX*97.03*28.08 
Rocky Mt,NC*77.88*35.85 
Rome/Russell,GA*85.17*34.35 
Roosevelt,UT*110.63*40.50 
Roseburg,OR*123.37*43.23 
Roseglen,ND*101.83*47.75 
Roswell,NM*104.53*33.30 
Rumford,ME*70.88*44.88 
Ruskin,FL*82.60*27.97 
Russell,KS*98.82*38.87 
Rutland,VT*73.95*43.53 
S Marsh Isl,LA*91.98*28.30 
S Weymouth,MA*70.93*42.15 
Sacramento,CA*121.60*38.70 
Safford Awrs,AZ*109.68*32.82 
Saginaw,MI*84.08*43.53 
Saint George,UT*113.60*37.08 
Saint Paul,MN*93.05*44.93 
Saint Peters,FL*82.68*27.92 
Salem,IL*88.96*38.63 
Salem,OR*123.00*44.92 
Salida,CO*106.05*38.53 
Salina,KS*97.65*38.80 
Salinas,CA*121.60*36.67 
Salisbury,MD*75.50*38.33 
Salmon,ID*113.90*45.18 
Salt Lake Ct,UT*111.97*40.78 
San Angelo,TX*100.50*31.37 
San Antonio,TX*98.47*29.33 
San Carlos,CA*122.25*37.52 
San Clemente,CA*117.62*33.42 
San Diego,CA*116.97*32.82 
San Francisco,CA*122.38*37.62 
San Jose,CA*121.92*37.37 
San Jose/Rei,CA*121.82*37.33 
San Luis Obi,CA*120.65*35.23 
San Mateo,CA*117.58*33.38 
San Miguel,CA*120.40*34.03 
San Nic Isl,CA*119.45*33.25 
Sand Point,AK*160.50*55.33 
Sandburg,CA*118.73*34.75 
Sanderson,TX*102.42*30.17 
Sanford,FL*81.25*28.78 
Santa Ana,CA*117.88*33.67 
Santa Barb,CA*119.83*34.43 
Santa Fe,NM*106.08*35.62 
Santa Maria,CA*120.45*34.90 
Santa Monica,CA*118.45*34.02 
Santa Rosa,CA*122.82*38.52 
Saranac Lk,NY*74.20*44.38 
Sarasota,FL*82.55*27.40 
Sault Ste M,MI*84.37*46.47 
Savannah Mun,GA*81.20*32.13 
Sawyer AFB,MI*87.40*46.35 
Schenectady,NY*73.93*42.85 
Scott AFB,IL*89.85*38.55 
Scottsbluff,NE*103.60*41.87 
Scottsdale,AZ*111.92*33.62 
Seattle,WA*122.30*47.45 
Seattle/Boeing,WA*122.30*47.53 
Selfridge,MI*82.83*42.62 
Selma,AL*86.99*32.34 
Seul Choix,MI*85.92*45.92 
Seward,AK*149.75*60.18 
Sexton,OR*123.37*42.62 
Seymour-John,NC*77.97*35.33 
Shaw AFB,SC*80.47*33.97 
Shelter Cove,CA*124.07*40.03 
Shelton,WA*123.15*47.25 
Shemy,AK*174.13*53.20 
Sheridan,WY*106.97*44.77 
Sherman-Deni,TX*96.67*33.72 
Shishmaref,AK*166.03*66.27 
Show Low,AZ*110.00*34.27 
Shreveport,LA*93.75*32.52 
Sidney,MT*104.18*47.72 
Sidney Muni,NE*102.98*41.10 
Silver City,NM*108.17*32.63 
Sioux City,IA*96.38*42.40 
Sioux Falls,SD*96.73*43.58 
Siskiyou,CA*122.47*41.78 
Site R,PA*77.43*39.73 
Sitka,AK*135.35*57.07 
Sitkinak,AK*154.20*56.88 
Skagway,AK*135.53*59.75 
Skwentna,AK*151.20*61.97 
Slidel,LA*89.82*30.35 
Smyrna,TN*86.50*36.00 
Snowshoe Lk,AK*146.67*62.03 
Socorro,NM*106.90*34.07 
Soda Springs,ID*111.58*42.65 
South Bend,IN*86.32*41.70 
South Brazos,TX*95.87*28.03 
Southern Pin,NC*79.39*35.24 
Spartanburg,SC*81.96*34.92 
Spencer,IA*95.15*43.17 
Spickard,MO*93.72*40.25 
Spokane,WA*117.53*47.63 
Springdale,AR*94.13*36.18 
Springfield,IL*89.67*39.85 
Springfield,MO*93.38*37.23 
StLouis/Spirit,MO*90.63*38.65 
St Cloud,MN*94.07*45.55 
St Johnsbury,VT*72.02*44.42 
St Joseph,MO*95.53*40.28 
St Louis,MO*90.37*38.75 
St Paul Is,AK*170.22*57.15 
Stampede Pas,WA*121.33*47.28 
State Colleg,PA*77.83*40.85 
Staunton,VA*78.85*38.27 
Steamboat Sp,CO*106.82*40.48 
Stephenville,TX*98.18*32.22 
Sterling,IL*89.67*41.74 
Stillwater,OK*97.09*36.16 
Stockton,CA*121.25*37.90 
Sun Valley,ID*114.30*43.50 
Superior Val,CA*117.10*35.33 
Susanville,CA*120.95*40.63 
Syracuse,NY*76.12*43.12 
Tacoma,WA*122.58*47.27 
Tahneta Pass,AK*147.30*61.90 
Talkeetna,AK*150.10*62.30 
Tallahassee,FL*84.37*30.38 
Tampa Intl,FL*82.53*27.97 
Tanana,AK*152.10*65.17 
Taos,NM*105.57*36.42 
Taylorville,IL*89.33*39.53 
Temple,TX*97.42*31.15 
Terre Haute,IN*87.30*39.45 
Teterboro,NJ*74.05*40.85 
Texarkana,AR*94.00*33.45 
The Dalles,OR*121.15*45.62 
Thermal,CA*116.17*33.63 
Thief River,MN*96.18*48.07 
Thompson Fal,MT*115.37*47.60 
Tinker AFB,OK*97.38*35.42 
Titusville,FL*80.80*28.52 
Tofte,MN*90.83*47.58 
Toledo,OH*83.80*41.60 
Toledo,WA*122.80*46.48 
Tonopah,NV*117.08*38.07 
Tooele,UT*112.20*40.17 
Topeka,KS*95.62*39.07 
Topeka/Forbe,KS*95.67*38.95 
Torrance,CA*118.33*33.80 
Traverse Cty,MI*85.58*44.73 
Travis AFB,CA*121.93*38.27 
Trenton,NJ*74.82*40.28 
Trinidad,CO*104.33*37.25 
Troutdale,OR*122.40*45.55 
Troy,AL*86.02*31.87 
Truckee-Tahoe,CA*120.13*39.32 
Truth Or Con,NM*107.27*33.23 
Tucson,AZ*110.93*32.12 
Tucumcari,NM*103.60*35.18 
Tulsa,OK*95.90*36.20 
Tupelo,MS*88.77*34.27 
Tuscaloosa,AL*87.62*33.23 
Tustin Mcas,CA*117.83*33.70 
Twenty9 Palm,CA*116.15*34.28 
Twin Falls,ID*114.48*42.48 
Tyler/Pounds,TX*95.40*32.37 
Tyndall AFB,FL*85.58*30.07 
Ukiah,CA*123.20*39.13 
Umiat,AK*152.13*69.37 
Unalakleet,AK*160.80*63.88 
Upolo Pt Ln,HI*156.47*20.42 
Utica,NY*75.38*43.15 
Valdez,AK*146.35*61.13 
Valdez 2,AK*146.25*61.13 
Valdosta,GA*83.28*30.78 
Valentine,NE*100.55*42.87 
Van Nuys,CA*118.48*34.22 
Vance AFB,OK*97.92*36.33 
Vandalia,IL*89.17*38.99 
Vandenberg,CA*120.95*35.20 
Vernal,UT*109.52*40.45 
Vero Beach,FL*80.42*27.65 
Vichy/Rolla,MO*91.77*38.13 
Victoria,TX*96.92*28.85 
Visalia,CA*119.40*36.32 
Volens,VA*78.98*36.95 
Volk Fld,WI*90.27*43.93 
W Lafayette,IN*86.93*40.42 
W Palm Beach,FL*80.12*26.68 
W Yellowston,MT*111.12*44.68 
Waco-Madison,TX*97.22*31.62 
Waimea-Koha,HI*156.12*20.00 
Wainwright,AK*159.85*70.62 
Wales,AK*168.08*66.03 
Walla Walla,WA*118.28*46.10 
Wallops Sta,VA*75.48*37.85 
Walnut Ridge,AR*90.93*36.13 
Warroad,MN*95.35*48.93 
Washington/Dulles,DC*77.46*38.95 
Washington/Natl,DC*77.04*38.85 
Waterloo Mun,IA*92.40*42.55 
Watertown,NY*76.02*44.00 
Watertown,SD*97.15*44.92 
Wausau,WI*89.62*44.92 
Waycross,GA*82.40*31.25 
Wenatchee,WA*120.20*47.40 
Wendover,UT*114.05*41.22 
West Plains,MO*92.42*37.22 
Westfield,MA*72.72*42.17 
Westhampton,NY*72.63*40.85 
Westover,MA*72.53*42.20 
Wheeling,WV*80.65*40.18 
Whidbey Is,WA*122.65*48.35 
White Plains,NY*73.72*41.07 
White Sands,NM*106.40*32.63 
White Sulph,WV*80.20*37.46 
Whiteman AFB,MO*93.55*38.73 
Whiting Fld,FL*87.02*30.72 
Whittier,AK*148.72*60.78 
Wichita,KS*97.43*37.65 
Wichita Flls,TX*98.50*33.98 
Wildhorse,NV*116.25*41.33 
Wilkes-Barre,PA*75.73*41.33 
Williams AFB,AZ*111.67*33.30 
Williamsport,PA*76.92*41.25 
Williston,ND*103.63*48.18 
Willoughby,OH*81.40*41.63 
Willow Arpt,AK*150.05*61.75 
Willow Grove,PA*75.15*40.20 
Wilmington,DE*75.60*39.67 
Wilmington,NC*77.92*34.27 
Wilmington,VT*72.88*42.88 
Windsor Loc,CT*72.68*41.93 
Wink,TX*103.20*31.78 
Winnemucca,NV*117.80*40.90 
Winslow,AZ*110.73*35.02 
Winston-Salem,NC*80.23*36.13 
Winter Park,CO*105.87*40.00 
Wolf Point,MT*105.58*48.10 
Wolfeboro,NH*71.38*44.00 
Worcester,MA*71.87*42.27 
Worland,WY*107.97*43.97 
Worthington,MN*95.58*43.65 
Wrangell,AK*132.37*56.48 
Wright-Pat AFB,OH*84.05*39.83 
Wurtsmith,MI*83.40*44.45 
Yakima,WA*120.53*46.57 
Yakutat,AK*139.67*59.52 
Yankton,SD*97.38*42.92 
Yellowstone,WY*110.42*44.55 
Youngstown,OH*80.67*41.27 
Ypsilanti,MI*83.53*42.23 
Yucca Flat,NV*116.08*37.58 
Yuma,AZ*115.00*33.10 
Yuma Mcas,AZ*114.62*32.65 
Yuma Prv Gd,AZ*114.40*32.85 
Zanesville,OH*81.90*39.95 
